,Condition,Method,replicate,Quartet Type,Branch Type,l-true,l-est,log10(l-true),log10(l-est),|l-true - l-est|,log10(l-est/l-true)
139,no_variation,CASTLES (Taylor 33),028,unbalanced,terminal,0.34237066,0.3743647180768914,-0.46550345995885933,-0.42670508799626866,0.03199405807689143,0.0387983719625907
140,no_variation,CASTLES (Taylor 33),029,balanced,terminal,0.09470175,0.11977457087965016,-1.0236419955656695,-0.9216353764283548,0.025072820879650154,0.10200661913731482
141,no_variation,CASTLES (Taylor 33),029,balanced,terminal,0.09466366,0.11816199179558892,-1.0238167083290912,-0.9275221969569172,0.023498331795588925,0.09629451137217412
142,no_variation,CASTLES (Taylor 33),029,balanced,internal,0.019711609999999997,0.008141463929482177,-1.7052779020746933,-2.0892974969126916,0.01157014607051782,-0.3840195948379984
143,no_variation,CASTLES (Taylor 33),029,balanced,terminal,0.11134523,0.15501506931583675,-0.9533283832913809,-0.8096260811677675,0.04366983931583675,0.14370230212361348
144,no_variation,CASTLES (Taylor 33),029,balanced,terminal,0.10980089,0.14808638192405618,-0.95939413966259,-0.829484877516379,0.038285491924056184,0.12990926214621099
145,no_variation,CASTLES (Taylor 33),030,unbalanced,terminal,0.11568176,0.1333405501767053,-0.9367351125765708,-0.8750377572634455,0.017658790176705297,0.0616973553131253
146,no_variation,CASTLES (Taylor 33),030,unbalanced,terminal,0.11875793,0.1367104398943087,-0.9253373809430557,-0.8641983192627083,0.017952509894308702,0.06113906168034745
147,no_variation,CASTLES (Taylor 33),030,unbalanced,internal,0.05835165,0.04314267919138523,-1.233946858971419,-1.3650928883965492,0.015208970808614768,-0.1311460294251302
148,no_variation,CASTLES (Taylor 33),030,unbalanced,terminal,0.17166955,0.21026170228350705,-0.7653067312790145,-0.6772398238500399,0.03859215228350704,0.08806690742897468
149,no_variation,CASTLES (Taylor 33),030,unbalanced,terminal,0.18615761,0.1820616517435568,-0.7301192054114571,-0.7397815214759786,0.004095958256443211,-0.009662316064521516
150,no_variation,CASTLES (Taylor 33),031,unbalanced,terminal,0.10742049,0.12025486627284217,-0.9689128709159205,-0.9198973402956563,0.012834376272842174,0.049015530620264196
151,no_variation,CASTLES (Taylor 33),031,unbalanced,terminal,0.10262396,0.11627706744311049,-0.9887512310276774,-0.9345059298542683,0.01365310744311049,0.05424530117340898
152,no_variation,CASTLES (Taylor 33),031,unbalanced,internal,0.01614605,0.0075758712977947035,-1.7919337069566232,-2.1205674119261593,0.008570178702205295,-0.32863370496953626
153,no_variation,CASTLES (Taylor 33),031,unbalanced,terminal,0.12376725,0.13308875827253572,-0.9073942585946285,-0.8758586269174693,0.009321508272535722,0.0315356316771592
154,no_variation,CASTLES (Taylor 33),031,unbalanced,terminal,0.22914979,0.22971657590781036,-0.6398805364199931,-0.6388076658168955,0.0005667859078103687,0.0010728706030976335
155,no_variation,CASTLES (Taylor 33),032,unbalanced,terminal,0.16069650000000002,0.1586928302801366,-0.793993582149162,-0.7994426941658339,0.0020036697198634323,-0.00544911201667186
156,no_variation,CASTLES (Taylor 33),032,unbalanced,terminal,0.00324071,0.01628942144261289,-2.489359830749584,-1.7880943404148029,0.013048711442612888,0.7012654903347812
157,no_variation,CASTLES (Taylor 33),032,unbalanced,terminal,0.00328815,0.015989536366386767,-2.483048378879439,-1.796164128901611,0.012701386366386767,0.6868842499778282
158,no_variation,CASTLES (Taylor 33),032,unbalanced,internal,0.11340526,0.08482220824638509,-0.945366801386707,-1.071490425383312,0.028583051753614905,-0.126123623996605
159,no_variation,CASTLES (Taylor 33),032,unbalanced,terminal,0.11372222,0.12449882950662308,-0.9441546709272584,-0.9048347316301268,0.010776609506623083,0.03931993929713156
160,no_variation,CASTLES (Taylor 33),033,unbalanced,terminal,0.02912559,0.037884803427430044,-1.5357252683299065,-1.421534961828936,0.008759213427430045,0.11419030650097065
161,no_variation,CASTLES (Taylor 33),033,unbalanced,terminal,0.0292809,0.03768435966685903,-1.5334155786031713,-1.4238388598671117,0.008403459666859028,0.10957671873605966
