,Condition,Method,replicate,RMSE,Log Error,#Negative Branches,RMSE (terminal),Log Error (terminal),#Negative Branches (terminal),RMSE (internal),Log Error (internal),#Negative Branches (internal)
157,no_variation,CASTLES (Integrals),158,0.00841718325232692,0.11540719910622681,0,0.009810230732631908,0.16429811833573454,0,0.004479471805336779,0.0176253606472113,0
158,no_variation,CASTLES (Integrals),159,0.011207359857374345,0.031736012973141416,0,0.013597474446103437,0.04396702915776539,0,0.00265181490552898,0.007273980603893468,0
159,no_variation,CASTLES (Integrals),160,0.004433822862829601,0.03506871889444398,0,0.004264053132712334,0.04112030520256279,0,0.004755213696529703,0.022965546278206364,0
160,no_variation,CASTLES (Integrals),161,0.003670633327758331,0.10338856359202929,0,0.0035456070916220967,0.061859630282550294,0,0.003908706663876017,0.18644643021098728,0
161,no_variation,CASTLES (Integrals),162,0.007363297886585079,0.054724982144540385,0,0.009013678438222181,0.06267650536501639,0,0.00040208124107187296,0.038821935703588384,0
162,no_variation,CASTLES (Integrals),163,0.009917995414323314,0.040517189213350215,0,0.011226554654163444,0.03542702296047222,0,0.006559637208701183,0.05069752171910621,0
163,no_variation,CASTLES (Integrals),164,0.0040712901394682815,0.07272771667261255,0,0.004224561556312,0.1027478118503865,0,0.0037459804475005547,0.01268752631706465,0
164,no_variation,CASTLES (Integrals),165,0.06231325310150564,0.35835684118181693,0,0.0759026265215395,0.06867185243079289,0,0.011243091680684696,0.937726818683865,0
165,no_variation,CASTLES (Integrals),166,0.013794784214152176,0.04853963186666441,0,0.01640779830190088,0.03171402463602365,0,0.005697062779480594,0.08219084632794593,0
166,no_variation,CASTLES (Integrals),167,0.029150504653812408,0.03860682095637886,0,0.03558409678271035,0.05559843627252086,0,0.004098765305945453,0.00462359032409486,0
